Division,MatchDate,HomeTeam,AwayTeam,HomeElo,AwayElo,Form3Home,Form5Home,Form3Away,Form5Away,FTHome,FTAway,FTResult,OddHome,OddDraw,OddAway,Over25,Under25
F1,2010-01-20,Grenoble,Bordeaux,1521.95,1868.68,1.0,1.0,7.0,13.0,1.0,3.0,A,8.0,4.0,1.44,2.13,1.65
F1,2010-01-20,Lens,Montpellier,1611.41,1632.43,5.0,9.0,6.0,6.0,0.0,1.0,A,2.3,3.1,3.2,2.33,1.55
F1,2010-01-20,Lorient,Lyon,1671.19,1773.56,6.0,7.0,4.0,7.0,1.0,3.0,A,3.6,3.2,2.1,2.13,1.65
F1,2010-01-20,Marseille,Le Mans,1772.71,1581.67,2.0,8.0,1.0,7.0,2.0,1.0,H,1.33,4.75,9.5,1.82,1.92
F1,2010-01-20,Nice,Auxerre,1618.66,1705.02,2.0,2.0,5.0,7.0,0.0,1.0,A,2.6,3.0,2.88,2.38,1.52
F1,2010-01-20,Paris SG,Monaco,1721.43,1661.3,3.0,7.0,7.0,11.0,0.0,1.0,A,1.8,3.3,4.75,2.21,1.6
F1,2010-01-20,Sochaux,Lille,1632.04,1782.85,4.0,7.0,9.0,15.0,2.0,1.0,H,4.2,3.25,1.91,2.1,1.67
F1,2010-01-20,Toulouse,Nancy,1677.88,1640.35,4.0,7.0,3.0,6.0,0.0,0.0,D,1.95,3.2,4.2,2.31,1.56
I1,2010-01-20,Bologna,Atalanta,1578.38,1600.35,3.0,6.0,3.0,4.0,2.0,2.0,D,2.3,3.1,3.2,2.2,1.63
I1,2010-01-20,Genoa,Bari,1696.01,1643.41,3.0,4.0,4.0,7.0,1.0,1.0,D,2.1,3.1,3.8,1.95,1.81
D1,2010-01-22,Freiburg,Stuttgart,1585.59,1714.12,1.0,5.0,7.0,8.0,0.0,1.0,A,4.0,3.5,1.91,1.94,1.81
D1,2010-01-23,Bochum,Schalke 04,1589.5,1764.14,6.0,8.0,9.0,12.0,2.0,2.0,D,4.0,3.4,1.91,1.98,1.78
D1,2010-01-23,Dortmund,Hamburg,1756.25,1759.95,9.0,15.0,9.0,11.0,1.0,0.0,H,2.4,3.3,2.88,1.91,1.83
D1,2010-01-23,Hertha,MGladbach,1584.81,1607.31,4.0,4.0,3.0,6.0,0.0,0.0,D,1.91,3.4,4.0,1.89,1.86
D1,2010-01-23,Mainz,Hannover,1624.37,1619.24,1.0,2.0,0.0,1.0,1.0,0.0,H,2.0,3.4,3.7,1.95,1.8
D1,2010-01-23,Nurnberg,Ein Frankfurt,1581.41,1624.11,0.0,0.0,5.0,11.0,1.0,1.0,D,2.15,3.3,3.3,1.96,1.79
D1,2010-01-23,Werder Bremen,Bayern Munich,1785.53,1859.88,0.0,2.0,9.0,15.0,2.0,3.0,A,3.1,3.3,2.3,1.6,2.26
E0,2010-01-23,Man United,Hull,1925.45,1553.76,7.0,10.0,2.0,3.0,4.0,0.0,H,1.14,6.5,15.0,1.47,2.54
SP1,2010-01-23,La Coruna,Ath Bilbao,1754.16,1713.42,4.0,6.0,4.0,10.0,3.0,1.0,H,2.1,3.2,3.6,2.19,1.63
SP1,2010-01-23,Sevilla,Almeria,1814.06,1658.73,0.0,3.0,5.0,6.0,1.0,0.0,H,1.44,4.2,7.5,1.86,1.88
SP1,2010-01-23,Valladolid,Barcelona,1646.5,1987.59,1.0,5.0,7.0,13.0,0.0,3.0,A,10.0,5.25,1.29,1.51,2.41
I1,2010-01-23,Catania,Parma,1569.51,1643.06,4.0,7.0,1.0,4.0,3.0,0.0,H,2.2,3.2,3.4,2.14,1.66
I1,2010-01-23,Juventus,Roma,1766.83,1786.14,3.0,3.0,7.0,11.0,1.0,2.0,A,2.5,3.1,2.9,1.84,1.9
I1,2010-01-24,Bologna,Bari,1578.38,1643.41,4.0,4.0,2.0,8.0,2.0,1.0,H,2.4,3.2,3.0,2.14,1.66
I1,2010-01-24,Genoa,Atalanta,1696.01,1600.35,4.0,4.0,4.0,5.0,2.0,0.0,H,1.83,3.4,4.5,1.97,1.78
I1,2010-01-24,Inter,Milan,1892.4,1822.4,7.0,11.0,9.0,12.0,2.0,0.0,H,2.5,3.1,2.9,1.94,1.81
I1,2010-01-24,Lazio,Chievo,1618.09,1643.19,4.0,7.0,3.0,6.0,1.0,1.0,D,1.95,3.2,4.2,2.22,1.62
I1,2010-01-24,Livorno,Napoli,1584.93,1684.09,3.0,9.0,7.0,11.0,0.0,2.0,A,3.1,3.1,2.4,2.19,1.63
I1,2010-01-24,Palermo,Fiorentina,1701.72,1781.74,5.0,11.0,6.0,9.0,3.0,0.0,H,2.4,3.2,3.0,2.1,1.68
I1,2010-01-24,Siena,Cagliari,1566.96,1685.17,0.0,3.0,7.0,8.0,1.0,1.0,D,2.9,3.0,2.6,2.06,1.71
I1,2010-01-24,Udinese,Sampdoria,1668.93,1651.05,2.0,2.0,2.0,3.0,2.0,3.0,A,2.1,3.2,3.6,2.13,1.67
SP1,2010-01-24,Espanol,Mallorca,1683.82,1786.87,3.0,6.0,6.0,9.0,1.0,1.0,D,2.4,3.2,3.0,2.15,1.65
SP1,2010-01-24,Getafe,Ath Madrid,1724.75,1762.28,3.0,9.0,9.0,10.0,1.0,0.0,H,2.5,3.2,2.88,1.87,1.87
SP1,2010-01-24,Real Madrid,Malaga,1906.22,1672.4,4.0,10.0,5.0,9.0,2.0,0.0,H,1.17,7.0,15.0,1.44,2.61
SP1,2010-01-24,Sp Gijon,Santander,1662.04,1707.83,4.0,4.0,7.0,10.0,0.0,1.0,A,2.35,3.3,3.0,2.15,1.65
SP1,2010-01-24,Tenerife,Valencia,1621.99,1826.14,1.0,2.0,9.0,10.0,0.0,0.0,D,5.25,3.75,1.65,1.77,1.98
SP1,2010-01-24,Villarreal,Zaragoza,1762.72,1665.08,2.0,8.0,2.0,2.0,4.0,2.0,H,1.44,4.2,7.5,1.76,2.0
SP1,2010-01-24,Xerez,Osasuna,1583.5,1689.69,1.0,1.0,4.0,4.0,1.0,2.0,A,3.25,3.2,2.25,2.26,1.59
D1,2010-01-24,Hoffenheim,Leverkusen,1683.31,1762.8,1.0,2.0,7.0,11.0,0.0,3.0,A,2.9,3.3,2.4,1.71,2.06
D1,2010-01-24,Wolfsburg,FC Koln,1751.03,1594.48,1.0,3.0,4.0,6.0,2.0,3.0,A,1.5,4.0,6.5,1.6,2.25
E0,2010-01-26,Bolton,Burnley,1620.47,1558.53,1.0,5.0,1.0,2.0,1.0,0.0,H,1.8,3.6,4.5,1.84,1.9
E0,2010-01-26,Portsmouth,West Ham,1607.29,1655.0,3.0,4.0,4.0,5.0,1.0,1.0,D,2.5,3.25,2.88,2.19,1.63
E0,2010-01-26,Tottenham,Fulham,1767.25,1728.29,4.0,8.0,0.0,4.0,2.0,0.0,H,1.57,3.75,6.5,1.88,1.86
E0,2010-01-26,Wolves,Liverpool,1565.49,1846.09,0.0,3.0,7.0,10.0,0.0,0.0,D,5.5,3.6,1.67,2.06,1.71
E0,2010-01-27,Aston Villa,Arsenal,1748.5,1877.45,1.0,7.0,7.0,13.0,0.0,0.0,D,3.2,3.25,2.3,1.9,1.84
E0,2010-01-27,Blackburn,Wigan,1635.38,1620.26,4.0,5.0,4.0,5.0,2.0,1.0,H,1.95,3.4,4.0,2.16,1.65
E0,2010-01-27,Chelsea,Birmingham,1947.83,1658.38,7.0,11.0,5.0,9.0,3.0,0.0,H,1.22,6.0,15.0,1.69,2.09
E0,2010-01-27,Everton,Sunderland,1714.63,1609.25,7.0,9.0,2.0,2.0,2.0,0.0,H,1.67,3.6,5.5,1.97,1.78
D1,2010-01-29,Hamburg,Wolfsburg,1759.95,1751.03,6.0,10.0,1.0,2.0,1.0,1.0,D,1.83,3.5,4.33,1.65,2.16
F1,2010-01-30,Bordeaux,Boulogne,1868.68,1505.58,7.0,13.0,2.0,3.0,0.0,0.0,D,1.17,6.5,17.0,1.7,2.06
F1,2010-01-30,Le Mans,Toulouse,1581.67,1677.88,1.0,4.0,4.0,5.0,1.0,3.0,A,2.7,2.88,2.9,2.51,1.48
F1,2010-01-30,Lille,Lens,1782.85,1611.41,6.0,12.0,4.0,6.0,1.0,0.0,H,1.44,4.0,8.0,2.05,1.72
F1,2010-01-30,Monaco,Nice,1661.3,1618.66,9.0,11.0,1.0,2.0,3.0,2.0,H,1.57,3.6,6.5,2.32,1.55
F1,2010-01-30,Montpellier,Marseille,1632.43,1772.71,6.0,9.0,4.0,8.0,2.0,0.0,H,3.5,3.0,2.25,2.21,1.61
F1,2010-01-30,Nancy,Lorient,1640.35,1671.19,1.0,7.0,6.0,6.0,1.0,0.0,H,2.5,2.9,3.1,2.39,1.52
F1,2010-01-30,Rennes,Grenoble,1711.08,1521.95,2.0,5.0,0.0,1.0,4.0,0.0,H,1.4,4.2,9.0,2.04,1.73
I1,2010-01-30,Bari,Palermo,1643.41,1701.72,2.0,5.0,7.0,11.0,4.0,2.0,H,2.5,2.9,3.1,2.16,1.65
I1,2010-01-30,Napoli,Genoa,1684.09,1696.01,7.0,13.0,4.0,7.0,0.0,0.0,D,1.95,3.25,4.2,1.93,1.82
SP1,2010-01-30,Espanol,Ath Bilbao,1683.82,1713.42,4.0,7.0,4.0,7.0,1.0,0.0,H,2.25,3.25,3.25,2.18,1.64
SP1,2010-01-30,La Coruna,Real Madrid,1754.16,1906.22,6.0,8.0,6.0,10.0,1.0,3.0,A,4.0,3.4,1.85,1.91,1.83
SP1,2010-01-30,Sp Gijon,Barcelona,1662.04,1987.59,3.0,4.0,9.0,13.0,0.0,1.0,A,13.0,6.5,1.2,1.52,2.43
D1,2010-01-30,Bayern Munich,Mainz,1859.88,1624.37,9.0,15.0,3.0,4.0,3.0,0.0,H,1.2,6.5,15.0,1.41,2.72
D1,2010-01-30,Ein Frankfurt,FC Koln,1624.11,1594.48,5.0,9.0,6.0,8.0,1.0,2.0,A,2.0,3.4,3.75,2.06,1.7
D1,2010-01-30,Hannover,Nurnberg,1619.24,1581.41,0.0,1.0,1.0,1.0,1.0,3.0,A,2.1,3.3,3.5,1.99,1.76
D1,2010-01-30,Hertha,Bochum,1584.81,1589.5,4.0,5.0,7.0,8.0,0.0,0.0,D,1.91,3.4,4.0,1.86,1.88
D1,2010-01-30,MGladbach,Werder Bremen,1607.31,1785.53,1.0,4.0,0.0,1.0,4.0,3.0,H,3.75,3.6,1.91,1.62,2.2
D1,2010-01-30,Schalke 04,Hoffenheim,1764.14,1683.31,7.0,13.0,0.0,2.0,2.0,0.0,H,1.67,3.6,5.5,1.97,1.78
E0,2010-01-30,Birmingham,Tottenham,1658.38,1767.25,4.0,6.0,4.0,8.0,1.0,1.0,D,3.1,3.25,2.38,2.09,1.69
E0,2010-01-30,Burnley,Chelsea,1558.53,1947.83,0.0,1.0,9.0,11.0,1.0,2.0,A,13.0,5.0,1.29,1.67,2.13
E0,2010-01-30,Fulham,Aston Villa,1728.29,1748.5,0.0,1.0,2.0,5.0,0.0,2.0,A,2.7,3.2,2.7,2.2,1.63
E0,2010-01-30,Hull,Wolves,1553.76,1565.49,2.0,2.0,1.0,4.0,2.0,2.0,D,2.25,3.25,3.25,2.08,1.7
E0,2010-01-30,Liverpool,Bolton,1846.09,1620.47,5.0,11.0,3.0,5.0,2.0,0.0,H,1.44,4.33,7.5,1.75,2.0
E0,2010-01-30,West Ham,Blackburn,1655.0,1635.38,2.0,6.0,6.0,8.0,0.0,0.0,D,2.1,3.3,3.6,1.98,1.77
E0,2010-01-30,Wigan,Everton,1620.26,1714.63,3.0,4.0,7.0,11.0,0.0,1.0,A,3.0,3.3,2.38,2.01,1.75
E0,2010-01-31,Arsenal,Man United,1877.45,1925.45,7.0,11.0,7.0,13.0,1.0,3.0,A,2.6,3.25,2.8,1.91,1.84
